id,date,time,lat,lng,location id,number of individuals,has photo,Finding place crayfish,Description crayfish,Description finding place crayfish,I replaced the bait,Code sample location
320056033,2024-07-18,15:04:00,51.248323,3.75345,30040,2,True,Stilstaand water,,,Ja,I_9960_9
321241381,2024-07-19,12:08:00,51.2365,3.756888,30037,2,True,Stilstaand water,,,Ja,I_9960_9
321241546,2024-07-20,14:27:00,51.236594,3.756752,30037,2,True,Stilstaand water,,,Ja,I_9960_9
321241617,2024-07-21,11:12:00,51.23666,3.756709,30037,1,True,Stilstaand water,,,Ja,I_9960_9
322063673,2024-07-18,15:35:00,51.268887,3.713016,28714,15,True,Stromend water,,,Ja,I_9961_5
322064397,2024-07-19,12:54:00,51.268718,3.711893,30006,14,True,Stromend water,,,Ja,I_9961_5
322064644,2024-07-20,15:06:00,51.269035,3.709526,30006,19,True,Stromend water,,,Ja,I_9961_5
322064865,2024-07-21,11:49:00,51.268962,3.711672,30006,10,True,Stromend water,,,Ja,I_9961_5
322989843,2024-08-06,09:00:00,51.261275,3.577298,29970,0,False,,,,Nee,
323256214,2024-08-08,08:17:00,51.261297,3.577321,29970,1,True,Stilstaand water,Mannetje,Open water aan rand rietkraag,Nee,I.9982.6
323561048,2024-08-10,08:26:00,51.110584,5.060751,23324,9,True,Stromend water,,,Ja,V_2450_2
323663177,2024-08-11,09:00:00,51.114356,5.064458,23324,5,True,Stromend water,,,Nee,V_2450_2
323821831,2024-08-12,07:30:00,51.113999,5.065249,23324,4,True,Stromend water,,,Ja,V_2450_2
323957636,2024-08-13,07:30:00,51.114062,5.065005,23324,4,True,Stromend water,,"traag stromend water, lage rivierstand (ongeveer 50 cm), veel vegetatie langs de oevers (kalmoes)",,V_2450_2
323961585,2024-08-13,08:52:00,51.261265,3.584385,30068,2,True,Stilstaand water,2 mannetjes,Open ondiep water met rietkraag,Nee,I.9982.5
324090783,2024-08-14,08:04:00,51.261316,3.584537,30068,3,True,Stilstaand water,3 mannetjes,Open water aan rietkraag ondiep,Ja,I.9982.5
324215412,2024-08-15,08:35:00,51.261326,3.584574,30068,2,True,Stilstaand water,2 mannetjes,Open water aan rietkraag ondiep,Nee,I.9982.5
324369979,2024-08-16,07:23:00,51.261311,3.584563,30068,2,True,Stilstaand water,2 mannetjes,Open water aan rietkraag ondiep,,I.9982.5
324903260,2024-08-18,,51.303911,3.124167,31265,1,True,Stromend water,,"gracht, rietkragen, troebel water",Ja,I_8370_5
325093628,2024-08-19,19:28:00,51.303964,3.12457,31265,2,True,Stromend water,,,Nee,I_8370_5
325126871,2024-08-20,07:40:00,51.268904,3.561426,29953,2,True,Stilstaand water,2 mannetjes,Open water met rietkraag,Nee,I.9982.11.
325201335,2024-08-20,17:18:00,51.303956,3.124505,31265,6,True,,,,Nee,I_8370_5
325237713,2024-08-21,08:17:00,51.268865,3.561383,29953,2,True,Stilstaand water,2 man,Open water met rietkraag,Ja,I.9982.11.
325304170,2024-08-21,17:14:00,51.303967,3.124387,31265,4,True,,1 zonder scharen,,Nee,I_8370_5
325391072,2024-08-22,,51.299058,3.105553,31257,4,False,Stromend water,,"5m brede waterloop, 1m riet, steile oevers. troebel water",Nee,I_8420_2
325449539,2024-08-23,08:57:00,51.186902,2.836919,24021,1,True,Stromend water,scharen met rode knobbels. 1 schaar ontbrak,51.18645 2.83553,,L8430-3
325489421,2024-08-23,,51.299055,3.10559,31257,2,False,,,,Ja,I_8420_2
325610498,2024-08-24,,51.29905,3.105578,31257,2,False,,,,Ja,I_8420_2
325749114,2024-08-25,,51.299054,3.10551,31257,4,False,,,,,I_8420_2
325915174,2024-08-27,07:00:00,51.327868,3.23697,31729,7,True,Stilstaand water,"5 mannelijke 2 vrouwlijke, 1 mannelijke met 1 schaar en 1 vrouwlijke zonder scharen","Natuurlijke oever tegen rietkraag, normale waterstand",Nee,I_8301_1 isabellavaart
325930460,2024-08-27,13:43:00,51.174538,4.003626,30827,2,True,Stromend water,,Kanaal Van Stekene,Ja,I.9112.4
325965329,2024-08-27,10:52:00,51.058466,4.172121,30852,3,True,Stilstaand water,"levendig, dicht geklapt","eerste dag proefproject. dijkgracht, waterstand geregeld met manuele sluizen, kanten begroeid met riet. waterdiepte +-60 cm",Ja,valnr.1  I.9220.9
