"isReserved","updateRes","OMSCHR","NAAM","vrijwillID","startDate","SugbyINBO","locID","restricties","Sampler","dataset","SystemType","GEBIED","provincie","gemeente","postcode","CATC","VHAG","WVLC","Latitude","Longitude","Beheerder","Bhrtel","Bhremail","geometry"
"TRUE","TRUE"," ","Molenvaardeken","mze2mza3 ","01/07/2024","YES","I_9940_13",NA," ","Scheers","Lotisch"," ","Oost-Vlaanderen","Evergem",9940,1,604," ",51.1501201,3.7349684,"VMM",NA,"d.slootmaekers@vmm.be",c(3.7349684, 51.1501201)
"TRUE","TRUE","Stationsstraat, Gruuthuyse kasteel","Rivierbeek","mdjjotdj ","01/07/2024","YES","I_8020_1",NA," ","VMM_Mtp","Lotisch"," ","West-Vlaanderen","Oostkamp",8020,1,28," ",51.1530017,3.2531877,"VMM",NA,"d.slootmaekers@vmm.be",c(3.2531877, 51.1530017)
"TRUE","TRUE","Kasterlee; Goor; 200m afw monding Zaardense Loop","Kleine Nete","ntc5zjdl ","01/08/24","YES","I_2460_5",NA," ","VMM_Mtp","Lotisch"," ","Antwerpen","Kasterlee",2460,1,8502," ",51.2148804,4.9537435,"VMM",NA,"d.slootmaekers@vmm.be",c(4.9537435, 51.2148804)
"TRUE","TRUE","Retie; zijweg van Kastelsedijk; zandpad ten einde, door wei; afw enkele meters voorbij berkenboom","Kleine Nete","ntc5zjdl ","01/08/24","YES","I_2460_6",NA," ","VMM_Mtp","Lotisch"," ","Antwerpen","Kasterlee",2460,1,8502," ",51.2424805,5.0214393,"VMM",NA,"d.slootmaekers@vmm.be",c(5.0214393, 51.2424805)
"TRUE","TRUE","Godsheide, Kiezelstr, aan golfterrein vr verval, afw brug","Demer","mdcxmmmy ","08/07/24","YES","I_3500_1",NA," ","VMM_Mtp","Lotisch"," ","Limburg","Hasselt",3500,1,7151," ",50.9296105,5.3774713,"VMM",NA,"d.slootmaekers@vmm.be",c(5.3774713, 50.9296105)
"TRUE","TRUE","Kachtem, Rumbeeksestraat","Mandel","nzi3zgyy ","08/07/24","YES","I_8870_3",NA," ","VMM_Mtp","Lotisch"," ","West-Vlaanderen","Izegem",8870,1,4203," ",50.9368577,3.1745023,"VMM",NA,"d.slootmaekers@vmm.be",c(3.1745023, 50.9368577)
"TRUE","TRUE","Stabroek; Danckerse weg; opw brug mtp 834610","Antitankkanaal","zjyxyjrl ","08/07/24","YES","I_2940_2",NA," ","VMM_Mtp","Lotisch"," ","Antwerpen","Stabroek",2940,1,113," ",51.3429651,4.3775854,"VMM",NA,"d.slootmaekers@vmm.be",c(4.3775854, 51.3429651)
"TRUE","TRUE","Ruisbroek; einde Donkstr - Vlietdijk opw. brug thv pompstation","Grote Molenbeek","zwuxmwy1 ","09/07/2024","YES","I_2870_1",NA," ","VMM_Mtp","Lotisch"," ","Antwerpen","Puurs-Sint-Amands",2870,1,6," ",51.095037,4.3174525,"VMM",NA,"d.slootmaekers@vmm.be",c(4.3174525, 51.095037)
"TRUE","TRUE","Ruisbroek, St. Katharinastr., afw Moerloop","Birrebeek","zwuxmwy1 ","09/07/2024","YES","I_2870_2",NA," ","VMM_Mtp","Lotisch"," ","Antwerpen","Puurs-Sint-Amands",2870,1,3106," ",51.0746396,4.338863,"VMM",NA,"d.slootmaekers@vmm.be",c(4.338863, 51.0746396)
"TRUE","TRUE","Rode Weel, thv bunker aan brug over verlegde schijns","Hoofdgracht","zjyxyjrl ","10/08/24","YES","I_2030_4",NA," ","VMM_Mtp","Lotisch"," ","Antwerpen","Antwerpen",2030,1,3104," ",51.3013959,4.3723865,"VMM",NA,"d.slootmaekers@vmm.be",c(4.3723865, 51.3013959)
